기업명,신규상장일,공모가(원),시초가(원),시초/공모(%),첫날종가(원)
마녀공장,2023/06/08,"16,000",,,
나라셀라,2023/06/02,"20,000",,,
진영(구.진영엘디엠),2023/06/01,"5,000",,,
기가비스,2023/05/24,"43,000","71,200",65.58%,"79,000"
모니터랩,2023/05/19,"9,800","19,600",100%,"14,200"
씨유박스,2023/05/19,"15,000","15,680",4.53%,"13,920"
키움스팩8호,2023/05/17,"2,000","2,050",2.5%,"2,070"
트루엔,2023/05/17,"12,000","19,340",61.17%,"17,200"
에스바이오메딕스,2023/05/04,"18,000","23,150",28.61%,"18,830"
토마토시스템,2023/04/27,"18,200","18,100",-0.55%,"14,650"
마이크로투나노,2023/04/26,"15,500","25,200",62.58%,"20,650"
삼성FN리츠(유가),2023/04/10,"5,000","4,790",-4.2%,"4,855"
미래에셋비전스팩3호,2023/04/07,"2,000","2,005",0.25%,-
IBKS스팩22호,2023/04/06,"2,000","2,055",2.75%,"2,090"
하나스팩27호,2023/04/06,"2,000","2,000",0%,"2,005"
지아이이노베이션,2023/03/30,"13,000","18,950",45.77%,"20,250"
엘비인베스트먼트,2023/03/29,"5,100","6,500",27.45%,"8,450"
한화위탁관리부동산투자회사,2023/03/27,"5,000","4,900",-2%,"4,510"
유안타스팩12호,2023/03/17,"2,000","1,997",-0.15%,"1,998"
미래에셋드림스팩1호,2023/03/15,"10,000","9,370",-6.3%,"9,410"
금양그린파워,2023/03/13,"10,000","19,000",90%,"16,200"
NH스팩28호,2023/03/09,"2,000","2,100",5%,"2,100"
자람테크놀로지,2023/03/07,"22,000","44,000",100%,"42,700"
하나스팩26호,2023/03/07,"2,000","2,000",0%,"1,999"
나노팀,2023/03/03,"13,000","26,000",100%,"29,800"
삼성스팩8호,2023/03/02,"10,000","10,100",1%,"9,980"
바이오인프라,2023/03/02,"21,000","42,000",100%,"29,400"
유안타스팩13호,2023/02/28,"2,000","2,010",0.5%,"1,999"
미래에셋비전스팩2호,2023/02/24,"2,000","4,000",100%,"2,800"
이노진,2023/02/20,"3,000","6,000",100%,"7,800"
제이오,2023/02/16,"13,000","19,900",53.08%,"21,500"
샌즈랩,2023/02/15,"10,500","21,000",100%,"24,900"
꿈비,2023/02/09,"5,000","10,000",100%,"13,000"
스튜디오미르,2023/02/07,"19,500","39,000",100%,"50,700"
삼기이브이,2023/02/03,"11,000","22,000",100%,"26,850"
오브젠,2023/01/30,"18,000","36,000",100%,"46,800"
미래반도체,2023/01/27,"6,000","12,000",100%,-
한주라이트메탈(구.한주금속),2023/01/19,"3,100","4,115",32.74%,"5,340"
티이엠씨,2023/01/19,"28,000","27,950",-0.18%,"28,100"
신영스팩9호,2022/12/27,"2,000","1,985",-0.75%,"1,985"
바이오노트(유가),2022/12/22,"9,000","9,980",10.89%,"10,650"
비엔케이스팩1호,2022/12/22,"2,000","1,980",-1%,"1,985"
IBKS스팩21호,2022/12/16,"2,000","2,015",0.75%,"2,000"
NH스팩27호,2022/12/16,"2,000","1,990",-0.5%,"1,980"
에스에이엠지엔터테인먼트,2022/12/06,"17,000","18,050",6.18%,"23,450"
대신밸런스스팩14호,2022/12/05,"2,000","1,985",-0.75%,"1,995"
NH스팩26호,2022/12/01,"2,000","1,995",-0.25%,"1,980"
유진스팩9호,2022/12/01,"2,000","2,000",0%,"1,985"
대신밸런스스팩13호,2022/11/28,"2,000","2,000",0%,"2,000"
펨트론,2022/11/24,"8,000","9,820",22.75%,"9,210"
인벤티지랩,2022/11/22,"12,000","12,750",6.25%,"14,950"
엔젯,2022/11/18,"10,000","9,000",-10%,"10,850"
유비온,2022/11/18,"2,000","1,850",-7.5%,"1,745"
티쓰리엔터테인먼트,2022/11/17,"1,700","2,445",43.82%,"2,085"
티에프이,2022/11/17,"10,500","10,000",-4.76%,"9,260"
윤성에프앤씨,2022/11/14,"49,000","44,100",-10%,"40,450"
디티앤씨알오,2022/11/11,"17,000","15,700",-7.65%,"13,850"
뉴로메카,2022/11/04,"16,900","24,250",43.49%,"21,050"
제이아이테크,2022/11/04,"16,000","14,400",-10%,"11,900"
NH스팩25호,2022/11/03,"2,000","2,110",5.5%,"2,175"
KB스팩23호,2022/11/03,"2,000","1,945",-2.75%,"1,940"
큐알티,2022/11/02,"44,000","43,000",-2.27%,"38,350"
교보스팩13호,2022/11/02,"2,000","2,000",0%,"1,975"
IBKS스팩20호,2022/10/28,"2,000","2,020",1%,"2,010"
저스템,2022/10/28,"10,500","11,000",4.76%,"12,400"
산돌,2022/10/27,"18,800","24,150",28.46%,"20,850"
삼성스팩7호,2022/10/26,"10,000","17,150",71.5%,"14,100"
플라즈맵,2022/10/21,"7,000","8,420",20.29%,"6,700"
한국스팩11호,2022/10/20,"2,000","2,045",2.25%,"2,035"
하나금융스팩25호,2022/10/20,"10,000","9,900",-1%,"9,760"
핀텔,2022/10/20,"8,900","15,300",71.91%,"10,850"
NH스팩24호,2022/10/20,"2,000","2,060",3%,"2,055"
샤페론,2022/10/19,"5,000","9,000",80%,"8,630"
탑머티리얼,2022/10/18,"30,000","33,500",11.67%,"37,000"
에스비비테크,2022/10/17,"12,400","23,900",92.74%,"31,050"
오에스피,2022/10/14,"8,400","10,850",29.17%,"10,050"
이노룰스,2022/10/07,"12,500","13,150",5.2%,"15,850"
모델솔루션,2022/10/07,"27,000","29,500",9.26%,"30,900"
유안타스팩10호,2022/10/06,"2,000","2,050",2.5%,"2,065"
SK증권스팩8호,2022/10/06,"2,000","2,120",6%,"2,140"
KB스타리츠(유가),2022/10/06,"5,000","4,500",-10%,"4,340"
선바이오,2022/10/05,"11,000","12,050",9.55%,"10,600"
더블유씨피,2022/09/30,"60,000","54,000",-10%,"41,700"
하나금융스팩24호,2022/09/29,"2,000","2,085",4.25%,"2,080"
알피바이오,2022/09/29,"13,000","19,300",48.46%,"18,300"
한화플러스스팩3호,2022/09/29,"2,000","2,110",5.5%,"2,125"
오픈엣지테크놀로지,2022/09/26,"10,000","10,800",8%,"10,050"
KB스팩22호,2022/09/22,"2,000","2,105",5.25%,"2,110"
하나금융스팩23호,2022/09/15,"2,000","2,120",6%,"2,110"
키움스팩7호,2022/09/07,"2,000","2,110",5.5%,"2,120"
IBKS스팩19호,2022/08/26,"2,000","2,095",4.75%,"2,095"
신영스팩8호,2022/08/26,"2,000","2,105",5.25%,"2,105"
대성하이텍,2022/08/22,"9,000","13,000",44.44%,"14,600"
쏘카(유가),2022/08/22,"28,000","28,000",0%,"26,300"
에이치와이티씨,2022/08/09,"15,000","14,700",-2%,"15,850"
유안타스팩9호,2022/08/04,"2,000","2,090",4.5%,"2,090"
새빗켐,2022/08/04,"35,000","70,000",100%,"72,500"
수산인더스트리(유가),2022/08/01,"35,000","33,000",-5.71%,"32,500"
신한스팩10호,2022/07/29,"2,000","2,150",7.5%,"2,145"
아이씨에이치,2022/07/29,"34,000","30,600",-10%,"27,000"
성일하이텍,2022/07/28,"50,000","99,900",99.8%,"88,200"
에이프릴바이오,2022/07/28,"16,000","19,500",21.88%,"21,850"
IBKS스팩18호,2022/07/22,"2,000","2,185",9.25%,"2,145"
루닛,2022/07/21,"30,000","30,800",2.67%,"40,000"
에이치피에스피,2022/07/15,"25,000","50,000",100%,"43,250"
대신밸런스12호스팩,2022/07/14,"2,000","2,170",8.5%,"2,135"
영창케미칼,2022/07/14,"18,600","18,400",-1.08%,"16,450"
코난테크놀로지,2022/07/07,"25,000","35,300",41.2%,"30,600"
넥스트칩,2022/07/01,"13,000","17,150",31.92%,"14,300"
삼성스팩6호,2022/06/30,"2,000","4,000",100%,"5,200"
NH스팩23호,2022/06/28,"2,000","2,085",4.25%,"2,090"
교보스팩12호,2022/06/24,"2,000","2,075",3.75%,"2,070"
보로노이,2022/06/24,"40,000","36,000",-10%,"29,350"
레이저쎌,2022/06/24,"16,000","20,600",28.75%,"17,350"
KB스팩21호,2022/06/23,"2,000","2,100",5%,"2,100"
위니아에이드,2022/06/23,"16,200","14,600",-9.88%,"11,000"
비플라이소프트,2022/06/20,"10,000","10,500",5%,"9,050"
범한퓨얼셀,2022/06/17,"40,000","41,000",2.5%,"47,950"
청담글로벌,2022/06/03,"6,000","6,500",8.33%,"7,640"
마스턴프리미어리츠(유가),2022/05/31,"5,000","5,750",15%,"6,010"
하나금융스팩22호,2022/05/26,"2,000","2,160",8%,"2,155"
가온칩스,2022/05/20,"14,000","24,150",72.5%,"27,100"
대명에너지,2022/05/16,"15,000","15,450",3%,"13,950"
상상인스팩3호,2022/04/29,"2,000","2,155",7.75%,"2,150"
신영스팩7호,2022/04/28,"2,000","2,295",14.75%,"2,270"
포바이포,2022/04/28,"17,000","34,000",100%,"44,200"
신한스팩9호,2022/04/27,"2,000","2,240",12%,"2,255"
미래에셋비전스팩1호,2022/04/21,"2,000","2,270",13.5%,"2,295"
키움스팩6호,2022/04/07,"2,000","2,180",9%,"2,215"
지투파워,2022/04/01,"16,400","32,800",100%,"35,250"
유진스팩8호,2022/03/31,"2,000","2,115",5.75%,"2,110"
코람코더원리츠(유가),2022/03/28,"5,000","5,260",5.2%,"5,410"
세아메카닉스,2022/03/24,"4,400","8,800",100%,"7,600"
공구우먼,2022/03/23,"20,000","21,600",8%,"20,000"
유일로보틱스,2022/03/18,"10,000","20,000",100%,"26,000"
모아데이타,2022/03/10,"20,000","18,000",-10%,"16,050"
SK증권스팩7호,2022/03/07,"2,000","2,135",6.75%,"2,130"
노을,2022/03/03,"10,000","9,670",-3.3%,"9,210"
비씨엔씨,2022/03/03,"13,000","26,000",100%,"22,600"
풍원정밀,2022/02/28,"15,200","20,200",32.89%,"21,450"
스톤브릿지벤처스,2022/02/25,"8,000","7,200",-10%,"6,510"
하나금융스팩21호,2022/02/25,"2,000","2,080",4%,"2,090"
브이씨,2022/02/24,"15,000","17,400",16%,"15,350"
퓨런티어,2022/02/23,"15,000","30,000",100%,"31,200"
바이오에프디엔씨,2022/02/21,"28,000","25,200",-10%,"22,200"
한국스팩10호,2022/02/21,"2,000","2,130",6.5%,"2,130"
IBKS스팩17호,2022/02/18,"2,000","2,660",33%,"2,315"
인카금융서비스,2022/02/16,"18,000","17,250",-4.17%,"14,400"
나래나노텍,2022/02/08,"17,500","15,750",-10%,"13,900"
아셈스,2022/02/07,"8,000","16,000",100%,"13,500"
스코넥,2022/02/04,"13,000","26,000",100%,"24,450"
이지트로닉스,2022/02/04,"22,000","23,450",6.59%,"25,500"
LG에너지솔루션(유가),2022/01/27,"300,000","597,000",99%,"505,000"
애드바이오텍,2022/01/24,"7,000","6,730",-3.86%,"5,950"
케이옥션,2022/01/24,"20,000","40,000",100%,"52,000"
오토앤,2022/01/20,"5,300","8,800",66.04%,"11,400"
디비금융스팩10호,2022/01/20,"2,000","2,075",3.75%,"2,115"
래몽래인,2021/12/30,"15,000","26,000",73.33%,"24,000"
하나금융스팩20호,2021/12/27,"2,000","2,130",6.5%,"2,135"
NH스팩22호,2021/12/24,"2,000","2,090",4.5%,"2,085"
하이스팩7호,2021/12/20,"2,000","2,060",3%,"2,085"
교보스팩11호,2021/12/20,"2,000","2,065",3.25%,"2,095"
케이티비네트워크,2021/12/16,"5,800","6,030",3.97%,"5,350"
신한서부티엔디리츠(유가),2021/12/10,"5,000","4,805",-3.9%,"4,915"
툴젠,2021/12/10,"70,000","82,300",17.57%,"91,100"
미래에셋글로벌리츠(유가),2021/12/03,"5,000","5,310",6.2%,"5,230"
대신밸런스스팩11호,2021/12/02,"2,000","2,060",3%,"2,070"
마인즈랩,2021/11/23,"30,000","29,650",-1.17%,"38,000"
알비더블유,2021/11/22,"21,400","42,800",100%,"38,950"
바이옵트로,2021/11/18,"7,500","7,300",-2.67%,"6,290"
NH올원리츠(유가),2021/11/18,"5,000","5,490",9.8%,"5,370"
트윔,2021/11/17,"22,000","44,000",100%,"41,100"
지오엘리먼트,2021/11/11,"10,000","20,000",100%,"15,900"
아이티아이즈,2021/11/11,"14,300","28,600",100%,"20,050"
비트나인,2021/11/10,"11,000","15,250",38.64%,"11,400"
디어유,2021/11/10,"26,000","52,000",100%,"66,500"
지니너스,2021/11/08,"20,000","18,000",-10%,"13,400"
카카오페이(유가),2021/11/03,"90,000","180,000",100%,"193,000"
피코그램,2021/11/03,"12,500","25,000",100%,"18,600"
엔켐,2021/11/01,"42,000","81,600",94.29%,"80,000"
리파인,2021/10/29,"21,000","18,900",-10%,"14,300"
지앤비에스엔지니어링,2021/10/29,"17,400","24,000",37.93%,"19,200"
아이패밀리에스씨,2021/10/28,"25,000","28,650",14.6%,"25,400"
차백신연구소,2021/10/22,"11,000","11,700",6.36%,"13,000"
지아이텍,2021/10/21,"14,000","28,000",100%,"36,400"
NH스팩21호,2021/10/15,"2,000","2,075",3.75%,"2,075"
케이카(유가),2021/10/13,"25,000","22,500",-10%,"23,000"
씨유테크,2021/10/08,"6,000","12,000",100%,"8,400"
원준,2021/10/07,"65,000","102,000",56.92%,"87,000"
하나금융스팩19호,2021/10/07,"2,000","2,045",2.25%,"2,045"
아스플로,2021/10/07,"25,000","36,000",44%,"28,350"
NH스팩20호,2021/10/05,"2,000","2,030",1.5%,"2,050"
에스앤디,2021/09/29,"28,000","25,200",-10%,"21,700"
실리콘투,2021/09/29,"27,200","38,500",41.54%,"29,000"
프롬바이오,2021/09/28,"18,000","19,250",6.94%,"19,850"
신한스팩8호,2021/09/27,"2,000","2,100",5%,"2,080"
바이오플러스,2021/09/27,"31,500","39,500",25.4%,"32,450"
대신밸런스스팩10호,2021/09/17,"2,000","2,305",15.25%,"2,220"
현대중공업(유가),2021/09/17,"60,000","111,000",85%,"111,500"
SK리츠(유가),2021/09/14,"5,000","5,340",6.8%,"5,780"
유진스팩7호,2021/09/13,"2,000","4,000",100%,"2,800"
와이엠텍,2021/09/10,"28,000","56,000",100%,"59,000"
에이비온,2021/09/08,"17,000","16,800",-1.18%,"15,700"
IBKS스팩16호,2021/09/03,"2,000","4,000",100%,"2,475"
일진하이솔루스(유가),2021/09/01,"34,300","68,600",100%,"89,100"
디앤디플랫폼리츠,2021/08/27,"5,000","5,390",7.8%,"5,290"
바이젠셀,2021/08/25,"52,700","73,500",39.47%,"59,500"
아주스틸(유가),2021/08/20,"15,100","30,200",100%,"33,500"
브레인즈컴퍼니,2021/08/19,"25,000","50,000",100%,"65,000"
롯데렌탈(유가),2021/08/19,"59,000","57,500",-2.54%,"55,500"
딥노이드,2021/08/17,"42,000","72,000",71.43%,"50,400"
한컴라이프케어(유가),2021/08/17,"13,700","16,050",17.15%,"12,800"
엠로,2021/08/13,"22,600","32,700",44.69%,"28,300"
플래티어,2021/08/12,"11,000","22,000",100%,"28,600"
원티드랩,2021/08/11,"35,000","70,000",100%,"91,000"
크래프톤(유가),2021/08/10,"498,000","448,500",-9.94%,"454,000"
에이치케이이노엔,2021/08/09,"59,000","68,100",15.42%,"68,500"
카카오뱅크(유가),2021/08/06,"39,000","53,700",37.69%,"69,800"
한화플러스스팩2호,2021/08/05,"2,000","4,000",100%,-
에브리봇,2021/07/28,"36,700","33,050",-9.95%,"30,300"
맥스트,2021/07/27,"15,000","30,000",100%,"39,000"
큐라클,2021/07/22,"25,000","36,500",46%,"30,650"
에스디바이오센서(유가),2021/07/16,"52,000","57,000",9.62%,"61,000"
오비고,2021/07/13,"14,300","19,200",34.27%,"20,700"
아모센스,2021/06/25,"12,400","12,250",-1.21%,"15,900"
이노뎁,2021/06/18,"18,000","22,200",23.33%,"18,050"
삼성머스트스팩5호,2021/06/17,"2,000","4,000",100%,"5,200"
라온테크,2021/06/17,"18,000","20,250",12.5%,"20,500"
엘비루셈,2021/06/11,"14,000","18,000",28.57%,"15,200"
에이디엠코리아,2021/06/03,"3,800","7,600",100%,"9,880"
제주맥주,2021/05/26,"3,200","4,780",49.38%,"4,900"
진시스템,2021/05/26,"20,000","19,100",-4.5%,"17,400"
삼영에스앤씨,2021/05/21,"11,000","22,000",100%,"28,600"
삼성스팩4호,2021/05/21,"2,000","2,070",3.5%,"2,105"
NH스팩19호(유가),2021/05/21,"2,000","2,075",3.75%,"2,100"
샘씨엔에스,2021/05/20,"6,500","6,400",-1.54%,"8,320"
씨앤씨인터내셔널,2021/05/17,"47,500","47,250",-0.53%,"41,150"
에이치피오,2021/05/14,"22,200","20,000",-9.91%,"16,750"
SK아이이테크놀로지(유가),2021/05/11,"105,000","210,000",100%,"154,500"
하이스팩6호,2021/05/10,"2,000","2,060",3%,"2,065"
쿠콘,2021/04/28,"45,000","80,000",77.78%,"65,500"
해성티피씨,2021/04/21,"13,000","26,000",100%,"33,800"
이삭엔지니어링,2021/04/21,"11,500","23,000",100%,"26,150"
유진스팩6호,2021/04/08,"2,000","2,050",2.5%,"2,045"
유안타스팩8호,2021/04/05,"2,000","2,010",0.5%,"2,005"
엔시스,2021/04/01,"19,000","38,000",100%,"31,400"
자이언트스텝,2021/03/24,"11,000","22,000",100%,"28,600"
제노코,2021/03/24,"36,000","65,000",80.56%,"80,100"
라이프시맨틱스,2021/03/23,"12,500","25,000",100%,"17,500"
SK바이오사이언스(유가),2021/03/18,"65,000","130,000",100%,"169,000"
바이오다인,2021/03/17,"30,000","40,000",33.33%,"42,600"
네오이뮨텍,2021/03/16,"7,500","15,000",100%,"14,350"
디비금융스팩9호,2021/03/16,"2,000","2,025",1.25%,"2,020"
프레스티지바이오로직스,2021/03/11,"12,400","12,100",-2.42%,"14,300"
싸이버원,2021/03/11,"9,500","18,000",89.47%,"21,200"
나노씨엠에스,2021/03/09,"20,000","33,000",65%,"23,950"
하나머스트스팩7호,2021/03/05,"2,000","2,055",2.75%,"2,050"
뷰노,2021/02/26,"21,000","32,900",56.67%,"32,150"
IBKS스팩15호,2021/02/26,"2,000","2,060",3%,"2,070"
유일에너테크,2021/02/25,"16,000","32,000",100%,"34,500"
씨이랩,2021/02/24,"35,000","46,600",33.14%,"40,800"
오로스테크놀로지,2021/02/24,"21,000","42,000",100%,"54,600"
피엔에이치테크,2021/02/16,"18,000","20,500",13.89%,"23,850"
하나금융스팩17호,2021/02/10,"2,000","2,045",2.25%,"2,050"
프레스티지바이오파마(유가),2021/02/05,"32,000","28,800",-10%,"32,800"
아이퀘스트,2021/02/05,"11,000","22,000",100%,"20,000"
신한스팩7호,2021/02/04,"2,000","2,020",1%,"2,030"
와이더플래닛,2021/02/03,"16,000","24,900",55.63%,"20,000"
레인보우로보틱스,2021/02/03,"10,000","20,000",100%,"26,000"
솔루엠(유가),2021/02/02,"17,000","34,000",100%,"29,150"
핑거,2021/01/29,"16,000","32,000",100%,"29,100"
씨앤투스성진,2021/01/28,"32,000","31,700",-0.94%,"28,700"
모비릭스,2021/01/28,"14,000","28,000",100%,"36,400"
선진뷰티사이언스,2021/01/27,"11,500","23,000",100%,"29,900"
엔비티,2021/01/21,"19,000","38,000",100%,"36,500"
한국스팩9호,2021/01/21,"2,000","2,020",1%,"2,030"
지놈앤컴퍼니,2020/12/23,"40,000","80,000",100%,"68,800"
대신밸런스스팩9호,2020/12/23,"2,000","2,020",1%,"2,050"
석경에이티,2020/12/23,"10,000","20,000",100%,"26,000"
이에스알켄달스퀘어리츠(유가),2020/12/23,"5,000","4,970",-0.6%,"5,190"
프리시젼바이오,2020/12/22,"12,500","25,000",100%,"32,500"
알체라,2020/12/21,"10,000","20,000",100%,"26,000"
엔에이치스팩18호,2020/12/21,"2,000","2,025",1.25%,"2,025"
에프앤가이드,2020/12/17,"7,000","14,000",100%,"12,850"
에이치엠씨아이비스팩5호,2020/12/16,"2,000","2,000",0%,-
티엘비,2020/12/14,"38,000","75,900",99.74%,"54,500"
인바이오,2020/12/11,"5,800","11,600",100%,"12,200"
엔젠바이오,2020/12/10,"14,000","28,000",100%,"25,650"
퀀타매트릭스,2020/12/09,"25,500","25,050",-1.76%,"24,100"
디비금융스팩8호,2020/12/09,"2,000","1,985",-0.75%,"1,985"
명신산업(유가),2020/12/07,"6,500","13,000",100%,"16,900"
클리노믹스,2020/12/04,"13,900","18,500",33.09%,"19,000"
포인트모바일,2020/12/03,"15,000","30,000",100%,"30,550"
엔에프씨,2020/12/02,"13,400","20,700",54.48%,"16,950"
앱코,2020/12/02,"24,300","30,150",24.07%,"28,900"
제일전기공업,2020/11/26,"17,000","34,000",100%,"28,650"
하나기술,2020/11/25,"35,000","70,000",100%,"91,000"
티앤엘,2020/11/20,"36,000","72,000",100%,"54,000"
에이플러스에셋어드바이저(유가),2020/11/20,"7,500","8,100",8%,"6,880"
고바이오랩,2020/11/18,"15,000","30,000",100%,"31,300"
네패스아크,2020/11/17,"26,500","36,200",36.6%,"38,700"
교촌에프앤비(유가),2020/11/12,"12,300","23,850",93.9%,"31,000"
소룩스,2020/11/06,"10,000","20,000",100%,"26,000"
위드텍,2020/10/30,"25,000","37,100",48.4%,"41,100"
센코,2020/10/29,"13,000","13,350",2.69%,"15,250"
바이브컴퍼니,2020/10/28,"28,000","40,000",42.86%,"31,300"
미코바이오메드,2020/10/22,"15,000","16,100",7.33%,"13,700"
피플바이오,2020/10/19,"20,000","18,000",-10%,"23,400"
하이브(구.빅히트)(유가),2020/10/15,"135,000","270,000",100%,"258,000"
넥스틴,2020/10/08,"75,400","71,100",-5.7%,"71,600"
원방테크,2020/09/24,"54,300","48,900",-9.94%,"43,700"
엔에이치스팩17호,2020/09/23,"2,000","2,005",0.25%,"1,995"
비나텍,2020/09/23,"33,000","44,000",33.33%,"40,750"
박셀바이오,2020/09/22,"30,000","27,000",-10%,"21,300"
비비씨,2020/09/21,"30,700","27,650",-9.93%,"22,300"
교보스팩10호,2020/09/18,"2,000","2,020",1%,"2,005"
핌스,2020/09/18,"19,000","21,000",10.53%,"18,300"
압타머사이언스,2020/09/16,"25,000","28,850",15.4%,"27,750"
이오플로우,2020/09/14,"19,000","21,750",14.47%,"20,000"
카카오게임즈,2020/09/10,"24,000","48,000",100%,"62,400"
피엔케이피부임상연구센타,2020/09/09,"18,300","28,000",53.01%,"26,800"
코람코에너지플러스리츠(유가),2020/08/31,"5,000","4,800",-4%,"4,735"
미래에셋대우스팩5호,2020/08/28,"2,000","2,000",0%,"2,010"
아이디피,2020/08/24,"9,800","13,200",34.69%,"12,500"
셀레믹스,2020/08/21,"20,000","24,900",24.5%,"25,800"
미투젠,2020/08/18,"27,000","29,100",7.78%,"25,500"
브랜드엑스코퍼레이션,2020/08/13,"13,000","12,900",-0.77%,"11,700"
영림원소프트랩,2020/08/12,"11,500","17,600",53.04%,"13,650"
한국파마,2020/08/10,"9,000","18,000",100%,"16,850"
제이알글로벌리츠(유가),2020/08/07,"5,000","4,700",-6%,"4,825"
이루다,2020/08/06,"9,000","18,000",100%,"17,650"
이지스레지던스리츠(유가),2020/08/05,"5,000","4,500",-10%,"4,190"
미래에셋맵스리츠1호(유가),2020/08/05,"5,000","4,500",-10%,"4,350"
와이팜,2020/07/31,"11,000","15,550",41.36%,"18,800"
이엔드디,2020/07/30,"14,400","18,200",26.39%,"21,000"
엠투아이,2020/07/29,"15,600","18,850",20.83%,"15,900"
에이치엠씨아이비스팩4호,2020/07/29,"2,000","2,010",0.5%,"2,000"
더네이쳐홀딩스,2020/07/27,"46,000","41,400",-10%,"43,000"
제놀루션,2020/07/24,"14,000","28,000",100%,"24,750"
솔트룩스,2020/07/23,"25,000","40,000",60%,"34,300"
하나금융스팩16호,2020/07/23,"2,000","2,020",1%,"2,020"
티에스아이,2020/07/22,"10,000","20,000",100%,"17,200"
이지스밸류플러스리츠(유가),2020/07/16,"5,000","4,800",-4%,"4,410"
에이프로,2020/07/16,"21,600","43,200",100%,"56,100"
